2024 RANK,2023 RANK,Institution Name,Country Code,Country,SIZE,FOCUS,RES.,AGE,STATUS,Academic Reputation Score,Academic Reputation Rank,Employer Reputation Score,Employer Reputation Rank,Faculty Student Score,Faculty Student Rank,Citations per Faculty Score,Citations per Faculty Rank,International Faculty Score,International Faculty Rank,International Students Score,International Students Rank,International Research Network Score,International Research Network Rank,Employment Outcomes Score,Employment Outcomes Rank,Sustainability Score,Sustainability Rank,Overall SCORE
rank display,rank display2,institution,location code,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,SUS SCORE,SUS RANK,Overall Score
1,1,massachusetts institute of technology (mit),US,United States,M,CO,VH,5,B,100,4,100,2,100,16,100,4,100,56,88,128,94,58,100,4,95,51,100
2,2,university of cambridge,UK,United Kingdom,L,FC,VH,5,A,100,3,100,4,100,14,92,68,100,64,96,85,100,7,100,6,97,33=,99
3,4,university of oxford,UK,United Kingdom,L,FC,VH,5,A,100,2,100,5,100,8,91,73,98,110,98,60,100,1,100,3,98,26=,99
4,5,harvard university,US,United States,L,FC,VH,5,B,100,1,100,1,98,44,100,1,85,210,67,223,100,5,100,1,97,39,98
5,3,stanford university,US,United States,L,FC,VH,5,B,100,5,100,3,100,11,100,8,100,78,51,284,96,44,100,2,94,63,98
6,6=,imperial college london,UK,United Kingdom,L,FC,VH,5,A,98,23,99,12,99,42,94,58,100,61,100,14,97,35,83,45,94,61=,98
7,9,eth zurich - swiss federal institute of technology,CH,Switzerland,L,FO,VH,5,A,99,19,84,62,72,177,99,21,100,22,99,56,96,42,79,52,88,103=,93
8,11,national university of singapore (nus),SG,Singapore,XL,FC,VH,3,A,99,15,89,54,77,157,93,64,100,33,82,154,76,165,100,7,88,106=,93
9,8,ucl,UK,United Kingdom,XL,FC,VH,5,A,100,13,98,22,98,43,74,131,99,96,100,15,100,2,52,126,93,74,92
10,27,"university of california, berkeley (ucb)",US,United States,XL,FC,VH,5,A,100,6,100,6,21,656,100,7,92,172,64,235,92,66,99,15,100,1,90
11,10,university of chicago,US,United States,L,FC,VH,5,B,99,17,95,38,93,72,79,122,81,225,84,145,61,236,98,17,82,137=,90
12,13,university of pennsylvania,US,United States,L,FC,VH,5,B,96,29,89,52,100,24,68,153,96,140,70,208,83,129,100,5,100,3=,89
13,20,cornell university,US,United States,L,FC,VH,5,B,98,26,91,47,53,297,99,18,69,283,64,234,80,144,98,18,95,58=,89
14,33,the university of melbourne,AU,Australia,XL,FC,VH,5,A,98,21,92,45,15,701+,92,69,93,166,100,36,97,30,93,31,90,92=,88
15,6=,california institute of technology (caltech),US,United States,S,CO,VH,5,B,96,30,94,41,100,5,100,3,100,63,81,159,23,521,34,225,41,357,88
16,18,yale university,US,United States,M,FC,VH,5,B,100,9,100,7,100,3,46,293,90,184,79,169,86,112,100,9,99,13,88
=17,12,peking university,CN,China (Mainland),XL,FC,VH,5,A,99,14,95,37,90,85,98,38,51,354,24,492,43,353,83,46,69,212,87
=17,16=,princeton university,US,United States,M,CO,VH,5,B,100,10,98,23,65,216,100,2,17,640,58,261,53,298,95,27,79,155,87
=19,45,the university of new south wales (unsw sydney),AU,Australia,XL,FC,VH,4,A,90,45,88,55,18,701+,96,47,100,55,99,50,99,15,96,25,100,10,87
=19,41,the university of sydney,AU,Australia,XL,FC,VH,5,A,96,31,88,57,12,701+,94,63,100,89,100,13,92,70,88,42,100,7,87
21,34=,university of toronto,CA,Canada,XL,FC,VH,5,A,100,11,96,33,54,283,57,226,96,145,96,80,96,46,96,22,100,2,86
22,15,the university of edinburgh,UK,United Kingdom,XL,FC,VH,5,A,98,25,97,26,72,176,59,216,99,100,100,33,100,12,48,141,100,6,86
23,22,columbia university,US,United States,XL,FC,VH,5,B,100,12,98,16,100,15,41,339,56,332,97,76,98,25,100,10,94,64=,86
24,26,université psl,FR,France,L,CO,VH,1,A,74,82,97,25,99,33,96,49,69,280,73,196,100,3,61,97,80,146=,86
25,14,tsinghua university,CN,China (Mainland),XL,FC,VH,4,A,99,16,97,27,94,67,99,22,9,701+,16,603,48,328,82,47,56,271=,85
=26,19,"nanyang technological university, singapore (ntu)",SG,Singapore,L,FC,VH,3,A,91,42,67,115,78,149,94,56,100,35,80,161,66,212,68,79,78,160=,85
=26,21,the university of hong kong,HK,Hong Kong SAR,L,FC,VH,5,A,98,27,51,159,83,121,82,102,100,28,99,52,43,355,100,14,97,32,85
28,24,johns hopkins university,US,United States,L,FC,VH,5,B,87,51,60,134,100,8,89,77,64,300,91,111,98,21,75,60,85,122,85
28,23,the university of tokyo,JP,Japan,L,FC,VH,5,A,100,7,100,9,90,84,70,148,10,701+,29,427,70,196,100,11,100,5,84
29,44,"university of california, los angeles (ucla)",US,United States,XL,FC,VH,5,A,100,8,100,8,37,435,85,96,43,386,25,477,90,86,97,20,91,86,84
30,31,mcgill university,CA,Canada,XL,FC,VH,5,A,94,34,88,58,64,219,62,195,89,188,93,98,86,107,93,33,94,64=,84
32,28,the university of manchester,UK,United Kingdom,XL,FC,VH,5,A,95,33,98,21,54,288,49,274,94,160,99,44,100,10,72,66,92,75=,82
33,25,university of michigan-ann arbor,US,United States,XL,FC,VH,5,A,98,22,90,48,82,127,56,231,67,292,28,445,95,48,94,29,84,126=,82
=34,30,the australian national university,AU,Australia,L,FC,VH,4,A,93,37,70,102,35,455,93,65,100,38,93,97,79,156,44,164,87,108=,82
=34,47,university of british columbia,CA,Canada,XL,FC,VH,5,A,98,24,94,43,44,354,57,227,96,134,74,189,96,37,60,99,100,3=,82
36,16=,epfl,CH,Switzerland,M,FO,VH,5,A,85,57,60,133,92,73,98,34,100,25,100,12,66,213,19,431,42,351=,80
37,49,technical university of munich,DE,Germany,XL,FO,VH,5,A,84,59,98,19,89,89,60,210,77,243,97,71,87,103,25,330,85,120=,80
=38,48,institut polytechnique de paris,FR,France,M,CO,VH,1,A,45,185,100,10,97,51,94,59,99,106,98,58,77,163,90,35,73,189=,80
=38,39,new york university (nyu),US,United States,XL,FC,VH,5,B,96,32,99,15,96,60,27,465,26,518,95,87,85,114,100,13,98,20,80
40,37,king's college london,UK,United Kingdom,XL,FC,VH,5,A,90,46,82,68,65,215,61,201,99,99,100,23,99,14,34,223,81,142=,79
41,29,seoul national university,KR,South Korea,L,FC,VH,4,A,99,18,98,17,85,105,65,175,12,701+,15,631,37,401,100,8,74,181,79
42,57,monash university,AU,Australia,XL,FC,VH,4,A,88,49,75,84,10,701+,88,81,100,50,100,19,87,102,61,95,72,194=,78
43,50=,the university of queensland,AU,Australia,XL,FC,VH,5,A,87,52,74,89,22,635,87,84,100,41,100,22,95,53,44,163,73,187=,78
=44,42=,zhejiang university,CN,China (Mainland),XL,FC,VH,4,A,74,81,96,36,67,198,98,37,98,120,27,456,75,174,38,194,52,297=,78
45,56,the london school of economics and political science (lse),UK,United Kingdom,M,SP,VH,5,A,68,98,96,32,40,401,80,110,100,35,100,10,32,440,99,16,98,28,77
46,36,kyoto university,JP,Japan,L,FC,VH,5,A,99,20,99,14,95,63,49,270,15,670,21,538,57,266,53,118,88,103=,76
=47,61=,delft university of technology,NL,Netherlands,L,CO,VH,5,A,73,84,79,73,37,428,85,95,100,66,89,121,91,72,42,170,98,18=,76
=47,32,northwestern university,US,United States,L,FC,VH,5,B,84,60,60,132,99,39,70,147,48,364,44,327,79,152,98,19,78,162,76
=47,38,the chinese university of hong kong (cuhk),HK,Hong Kong SAR,L,FC,VH,4,A,88,50,46,190,60,236,92,67,100,57,77,174,33,438,79,53,61,246=,76
50,34=,fudan university,CN,China (Mainland),XL,FC,VH,4,A,85,55,90,49,85,108,72,136,88,193,33,393,23,522,50,134,44,341,74
51,46,shanghai jiao tong university,CN,China (Mainland),XL,FC,VH,4,A,84,61,83,64,55,279,99,15,39,415,36,377,38,390,56,113,44,339=,74
52,52,carnegie mellon university,US,United States,L,FC,VH,5,B,71,87,75,83,49,319,100,10,47,371,98,59,57,264,60,100,47,323=,74
53,58,university of amsterdam,NL,Netherlands,XL,FC,VH,5,A,84,62,44,203,21,641,98,33,92,168,80,163,97,28,50,133,65,226=,73
